UF,ENEM_media,Ano_ENEM,PIB_per_capita,Populacao_Estimada,Pop_Total,Pop_Esgoto_Atendida,Saneamento_Cobertura_Esgoto,Taxa_Homicidios,Ano_IBGE
---,,,,,230107079.0,104353402.0,45.35,,
AC,510.07,2023.0,21374440.0,906876.0,364756.0,75383.0,20.67,28.6,2021.0
AL,517.75,2023.0,76265620.0,3365351.0,5167142.0,506036.0,9.79,26.6,2021.0
AM,496.42,2023.0,131531038.0,4269995.0,2224350.0,560592.0,25.2,42.5,2021.0
AP,504.41,2023.0,20099851.0,877613.0,1467518.0,39508.0,2.69,50.6,2021.0
BA,522.38,2023.0,352617852.0,14985284.0,14087733.0,5300539.0,37.63,47.1,2021.0
CE,526.62,2023.0,194884802.0,9240580.0,9262159.0,2466429.0,26.63,35.5,2021.0
DF,555.69,2023.0,286943782.0,3094325.0,2817381.0,2600435.0,92.3,11.3,2021.0
ES,553.25,2023.0,186336505.0,4108508.0,3928477.0,2190832.0,55.77,29.3,2021.0
GO,539.3,2023.0,269627874.0,7206589.0,7015119.0,4425731.0,63.09,22.0,2021.0
MA,501.91,2023.0,124980720.0,7153262.0,5787855.0,824328.0,14.24,26.9,2021.0
MG,562.36,2023.0,857593214.0,21411923.0,21499252.0,13740879.0,63.91,12.6,2021.0
MS,530.28,2023.0,142203766.0,2839188.0,2731225.0,1599752.0,58.57,19.8,2021.0
MT,523.16,2023.0,233390203.0,3567234.0,2616484.0,1421021.0,54.31,29.3,2021.0
PA,505.93,2023.0,262904979.0,8777124.0,5910202.0,525345.0,8.89,29.6,2021.0
PB,527.22,2023.0,77470331.0,4059905.0,3931509.0,1298125.0,33.02,24.3,2021.0
PE,529.87,2023.0,220813522.0,9674793.0,8817185.0,2141808.0,24.29,31.8,2021.0
PI,516.23,2023.0,64028303.0,3289290.0,3803697.0,585940.0,15.4,23.0,2021.0
PR,547.04,2023.0,549973062.0,11597484.0,11325805.0,8744268.0,77.21,22.1,2021.0
RJ,552.75,2023.0,949300770.0,17463349.0,47403314.0,7530161.0,15.89,27.9,2021.0
RN,534.9,2023.0,80180733.0,3560903.0,3368161.0,888218.0,26.37,36.7,2021.0
RO,514.59,2023.0,58170096.0,1815278.0,1363841.0,119891.0,8.79,34.3,2021.0
RR,524.88,2023.0,18202579.0,652713.0,636707.0,387036.0,60.79,30.2,2021.0
RS,553.88,2023.0,581283677.0,11466630.0,10389439.0,3533000.0,34.01,19.8,2021.0
SC,556.48,2023.0,428570889.0,7338473.0,6190379.0,2016241.0,32.57,9.1,2021.0
SE,527.41,2023.0,51861397.0,2338474.0,2164506.0,663710.0,30.66,30.5,2021.0
SP,562.39,2023.0,2719751231.0,46649132.0,44241369.0,39627082.0,89.57,8.4,2021.0
TO,514.8,2023.0,51780764.0,1607363.0,1591514.0,541112.0,34.0,27.7,2021.0
