SG_UF_PROVA;AGUA_ATENDIMENTO_PERC;ESGOTO_ATENDIMENTO_PERC;PERC_DOCENTES_SUPERIOR;ANOS_ESTUDO_MEDIO;TAXA_ANALFABETISMO_PERC;TAXA_APROVACAO_PERC;DISTORCAO_IDADE_SERIE_PERC;INDICE_GINI;IDH_ESTADUAL;SCORE_INGLES_EF;DOMICILIOS_INTERNET_PERC;INVESTIMENTO_RCL_PERC;RENDIMENTO_MEDIO
AC;53.5;20.67;76.8;8.9;7.9;80.2;26.5;0.535;0.719;415;65.4;6.1;950
AL;61.12;25.98;75.4;8.2;15.1;82.1;24.2;0.545;0.683;410;71.2;5.2;880
AM;63.08;13.0;74.5;9.4;5.4;83.5;23.4;0.52;0.733;455;73.5;5.9;1050
AP;23.46;2.7;77.2;9.3;5.2;81.4;24.1;0.51;0.74;435;68.2;4.8;1020
BA;82.48;51.11;81.3;8.6;12.3;81.3;25.4;0.548;0.714;470;77.2;6.2;960
CE;76.84;29.38;85.4;8.7;12.8;93.4;10.5;0.53;0.735;475;78.4;9.5;980
DF;98.99;92.3;98.2;12.5;1.8;89.5;12.4;0.548;0.85;515;96.1;8.5;2900
ES;81.04;65.37;90.1;10.2;5.1;91.5;12.1;0.47;0.772;495;87.1;15.1;1500
GO;93.4;63.99;86.9;9.7;5.2;90.1;14.5;0.47;0.769;485;85.9;6.7;1550
MA;70.54;10.22;73.1;8.0;14.5;78.4;29.1;0.54;0.687;405;66.8;4.5;810
MG;84.78;76.36;89.4;10.1;4.8;89.8;14.8;0.48;0.787;510;86.4;2.5;1400
MS;94.01;50.36;88.2;9.8;4.2;87.2;17.2;0.475;0.766;490;85.2;12.4;1700
MT;82.3;41.22;87.5;9.6;5.5;86.4;18.4;0.455;0.774;480;84.5;14.5;1800
PA;62.1;24.05;78.5;8.8;8.2;79.5;28.4;0.505;0.698;445;70.5;5.4;980
PB;69.09;28.04;82.7;8.5;13.5;88.7;16.8;0.555;0.722;460;76.5;5.1;920
PE;42.54;41.92;84.2;8.9;11.5;91.2;13.2;0.545;0.727;492;80.2;5.8;950
PI;67.24;34.2;79.2;8.1;14.2;84.5;21.5;0.545;0.697;440;72.1;7.5;850
PR;94.88;72.46;92.5;10.5;2.9;90.3;14.1;0.465;0.792;535;89.5;7.8;1800
RJ;69.71;62.07;93.8;11.0;2.5;85.4;18.2;0.54;0.796;505;91.2;4.3;1850
RN;82.46;32.93;83.1;8.8;12.1;82.5;22.1;0.535;0.731;488;79.1;4.2;1050
RO;74.5;21.87;80.4;9.1;6.5;85.1;20.1;0.465;0.725;425;76.8;6.5;1150
RR;79.4;60.79;81.9;9.5;5.8;84.2;22.5;0.485;0.752;420;78.2;7.1;1100
RS;79.29;37.84;91.7;10.6;2.6;84.1;19.5;0.46;0.787;530;88.7;3.2;1950
SC;90.31;36.24;94.1;10.8;2.3;88.2;13.5;0.42;0.808;545;90.4;9.1;1900
SE;87.32;21.15;80.5;8.4;11.9;83.2;23.1;0.542;0.702;450;75.4;3.8;1000
SP;93.27;90.66;95.4;11.2;2.1;92.1;11.2;0.494;0.826;520;92.5;5.2;2100
TO;75.34;29.53;82.1;9.2;6.8;86.9;19.4;0.475;0.743;430;74.5;8.2;1200
