UF,Natural_Sciences,Humanities,Language,Math,Essay,Mean_General,Sample_Size,English_Score,Region,Year,Grade
MG,508.38952221685724,535.3523023300553,527.2461178946892,564.1637075595021,661.4539364242307,557.780768371148,88590,536.427468781954,Southeast,2023,STRICT_3EM
SP,505.42771916484486,535.9807974221876,533.9186952101049,563.1553802448013,634.7550420614406,553.4580681611908,198324,542.8948970166863,Southeast,2023,STRICT_3EM
SC,506.26292159646636,537.9340288588194,531.2267393126572,558.4904653730873,635.9543767213507,552.586810005873,33487,540.0180971123339,South,2023,STRICT_3EM
RS,502.9749468210825,533.3283064581807,531.3481635312322,557.54265916074,641.6813258408665,551.7713267726675,49182,552.6637852420397,South,2023,STRICT_3EM
RJ,502.4479809135446,533.6868702062499,526.6853104588449,551.8959476679977,646.7398433476976,550.7678497240059,73975,538.117298464029,Southeast,2023,STRICT_3EM
DF,506.16897329823246,533.5178723404255,530.266478044364,548.6024680330951,638.182888184699,550.0063958229886,22153,549.4852160788053,Center-West,2023,STRICT_3EM
ES,502.31745441349904,528.2794499783456,521.6463577306193,552.6862378662796,649.72802078822,549.2669661902501,23159,535.6497807618525,Southeast,2023,STRICT_3EM
RN,490.62695632183903,518.2375033605161,513.6784747737252,528.8592965517241,645.8015951250112,538.447369001326,22373,540.3664032749429,Northeast,2023,STRICT_3EM
PR,498.4352532820125,526.0075206961736,524.1763607326772,543.6066379132586,600.4015383612542,537.030457958202,61534,535.1018929689725,South,2023,STRICT_3EM
GO,488.48989090091106,510.561545829963,507.4691451317638,524.5521516139917,622.8915662650602,528.9764676806891,47139,528.1829409477731,Center-West,2023,STRICT_3EM
MS,488.83725864473973,514.2194000560695,510.1856181665265,523.8568974377799,602.2820297168489,526.3782983422846,14337,523.0240992970123,Center-West,2023,STRICT_3EM
PE,480.4601906725071,503.7132616295662,503.04774900114154,522.0353737990945,619.4923658675799,524.3745320363487,56233,515.9331642280447,Northeast,2023,STRICT_3EM
BA,480.63923431119866,508.1971974272382,502.2889284363045,509.5862949234022,621.6257724591175,523.3889009419036,71628,513.9004516337159,Northeast,2023,STRICT_3EM
PB,478.83582533408617,503.468137829912,500.1122140762463,509.6576773950687,629.6737536656891,523.133669797415,27363,521.6657443108793,Northeast,2023,STRICT_3EM
SE,476.3159218249733,499.571425786327,495.1091759812841,502.6657750800427,641.6987262802184,522.0455826365031,15427,520.1028492795855,Northeast,2023,STRICT_3EM
MT,482.5488364452719,507.42866899536006,503.60152755330796,511.6098778951979,597.7248318648662,518.8886392016466,19273,521.4169900367069,Center-West,2023,STRICT_3EM
RR,485.2758807588076,512.2525167785235,511.2380453020134,514.9679765130985,578.5234899328859,517.6851837980302,2403,544.6916666666667,North,2023,STRICT_3EM
PI,470.42976798726863,491.0208850710418,489.50208850710413,499.74883993634313,613.4600822375118,511.6847710533442,24620,518.6119095477387,Northeast,2023,STRICT_3EM
RO,472.3413609407981,495.48725114854517,492.08249425727416,497.4311790129661,593.6332312404288,508.65268522933155,10487,517.0749166666667,North,2023,STRICT_3EM
PA,468.83260117787603,494.1581994672264,488.00077897965775,486.96811351204076,606.4102357119793,507.7088222392144,49696,499.53529320267535,North,2023,STRICT_3EM
AL,470.67979878079007,493.1371519377638,489.1298942175418,499.9746543093621,588.3003652578151,506.4144575769037,21152,500.2481522574037,Northeast,2023,STRICT_3EM
AC,464.64713008937434,494.04233151867845,495.5309742819598,489.46448857994045,586.2136286840623,504.37150896258817,5337,526.8807221147647,North,2023,STRICT_3EM
AP,466.1223640026864,493.44986367281473,490.57536487570167,479.5091336467428,596.7409783480352,504.0497804774084,6256,510.572686137392,North,2023,STRICT_3EM
TO,469.40443810610384,492.1983622350674,490.6822628987369,493.45175128351394,580.1648469278528,503.46564050542804,9365,500.94096972263395,North,2023,STRICT_3EM
CE,465.01286320992386,487.25681383747497,488.36678283369855,498.50580775967563,573.0001398666604,500.75697642848326,86432,517.0973320659062,Northeast,2023,STRICT_3EM
MA,457.69734600859493,481.548281199291,477.92948049030133,475.40459695272824,578.0253139276531,492.73817571599045,40224,490.0877457903314,Northeast,2023,STRICT_3EM
AM,460.0028767496819,482.0224263431542,484.72497833622185,476.57906289765504,528.0277296360485,483.1438376694452,23754,500.0599726152442,North,2023,STRICT_3EM
