IBGE_CODE,Math,Read,Science,UF,Region,Cognitive_Global_Mean
41,417.91170406189553,448.7405918762089,437.14224564796905,PR,South,434.5981805286912
32,405.646248079034,440.18985290889134,432.98684412733263,ES,Southeast,426.2743150384194
53,402.4553351708931,439.79324035281144,434.757776185226,DF,Center-West,425.6687839029769
42,402.5085747126437,430.1903068965517,424.4356287356322,SC,South,419.04483678160915
31,392.6034613987284,428.19995640326977,419.06319164396007,MG,Southeast,413.2888698153194
52,386.30598808104884,421.6569034564958,413.9652610250298,GO,Center-West,407.3093841875248
35,389.76941728031414,419.2682317133039,412.5432228767796,SP,Southeast,407.19362395679923
43,391.54112333333336,412.6976755555556,414.48569444444445,RS,South,406.2414977777778
50,378.8654016887817,412.67955247285886,404.05181664656214,MS,Center-West,398.5322569360676
51,378.6792029177719,409.7922665782493,402.8039429708223,MT,Center-West,397.0918041556145
23,378.5096349036403,407.98982012847966,401.5920310492505,CE,Northeast,396.0304953604568
13,382.717006127451,402.7615073529412,397.8937181372549,AM,North,394.4574105392157
14,371.9464269662921,403.70658177278403,400.3297041198502,RR,North,391.9942376196421
12,372.2016006564551,402.6142964989059,395.93338183807435,AC,North,390.24975966447846
22,371.85379523141654,401.34832819074336,396.394190743338,PI,Northeast,389.86543805516595
33,363.71335488126647,402.60522031662265,387.58903562005275,RJ,Southeast,384.6358702726473
26,367.22430357142855,397.4018059523809,382.4010416666667,PE,Northeast,382.3423837301587
11,364.1291690140845,395.21516005121634,387.4380345710627,RO,North,382.2607878787878
24,359.71014504716976,393.9885849056604,383.6555365566038,RN,Northeast,379.11808883647797
25,357.7667236315087,388.9300761014686,381.551041388518,PB,Northeast,376.0826137071651
16,355.70726141078836,387.7806473029046,383.6188900414938,AP,North,375.7022662517289
28,352.3977977369165,378.8548486562942,376.18205657708626,SE,Northeast,369.14490099009896
15,346.08547074468083,383.9191396276596,375.9102513297873,PA,North,368.6382872340426
17,349.7159474313023,378.12691278375155,373.08849581839905,TO,North,366.9771186778176
29,348.4269351669941,374.5897131630648,374.7430874263261,BA,Northeast,365.919911918795
21,341.3025311688312,373.8297727272727,369.5544207792208,MA,Northeast,361.5622415584415
27,342.48364153439155,367.64930291005294,366.5759920634921,AL,Northeast,358.9029788359789
