SG_UF_PROVA;PISA_Matematica;PISA_Leitura;PISA_Ciencias;Amostra_Alunos;PISA_Geral
AC;438.03;493.13;476.71;72;469.29
AL;359.72;386.36;383.63;778;376.57
AM;411.88;451.09;454.35;50;439.11
AP;304.68;307.65;304.74;108;305.69
BA;413.81;447.03;448.75;119;436.53
CE;362.64;396.74;387.76;2042;382.38
DF;309.94;314.9;315.1;492;313.31
ES;441.59;483.74;477.52;299;467.61
GO;451.69;498.95;493.44;56;481.36
MA;385.61;419.76;413.38;1206;406.25
MG;454.45;490.72;483.84;110;476.34
MS;475.83;511.85;511.44;211;499.71
MT;325.94;339.54;330.82;97;332.1
PA;374.66;405.15;397.67;3266;392.49
PB;349.0;373.22;362.62;245;361.61
PE;452.98;510.89;484.27;72;482.71
PI;367.72;405.59;391.88;657;388.4
PR;466.36;512.54;502.74;761;493.88
RJ;315.95;319.2;321.45;41;318.87
RN;454.99;501.71;493.39;116;483.36
