Region,UF,Year,Grade,SAEB_General,Math_Mean,Language_Mean,N_Students
Sudeste,ES,2017,3EM,288.566401179941,292.85587020648967,284.27693215339235,24661.0
Centro-Oeste,DF,2017,3EM,285.43942748091604,289.112213740458,281.7666412213741,16066.0
Sul,RS,2017,3EM,275.34131044487424,277.5719825918762,273.11063829787236,45511.0
Centro-Oeste,GO,2017,3EM,273.1650961538462,274.2422041420119,272.0879881656805,52691.0
Sudeste,MG,2017,3EM,271.8829941618015,274.0795204336947,269.6864678899083,151699.0
Norte,RO,2017,3EM,271.1042819148936,273.1915425531915,269.01702127659576,11529.0
Sudeste,SP,2017,3EM,270.38299163679807,270.09193548387094,270.6740477897252,352516.0
Sul,PR,2017,3EM,269.85833773087074,271.63133905013194,268.0853364116095,78486.0
Centro-Oeste,MS,2017,3EM,269.20508090614885,270.1812944983819,268.2288673139159,13615.0
Nordeste,CE,2017,3EM,267.79794668587897,268.7956772334294,266.80021613832855,89309.0
Nordeste,PE,2017,3EM,267.7333632862644,268.87627727856227,266.5904492939666,75395.0
Norte,AC,2017,3EM,266.99622222222223,266.99111111111114,267.0013333333333,7451.0
Sudeste,RJ,2017,3EM,265.6468595744681,266.0262468085107,265.26747234042557,88160.0
Sul,SC,2017,3EM,264.8797668810289,268.10186495176845,261.6576688102894,24439.0
Nordeste,SE,2017,3EM,262.48128205128205,263.87035897435896,261.09220512820514,13761.0
Centro-Oeste,MT,2017,3EM,262.1433496332519,264.1519804400978,260.1347188264059,22459.0
Norte,TO,2017,3EM,258.84068421052626,261.714947368421,255.96642105263155,13629.0
Nordeste,PI,2017,3EM,256.99281976744186,259.54257751937985,254.44306201550387,28369.0
Nordeste,RN,2017,3EM,255.89458588957058,256.7838957055215,255.00527607361963,18173.0
Nordeste,AL,2017,3EM,255.89375,256.23553278688524,255.55196721311475,21447.0
Norte,RR,2017,3EM,253.6384782608696,254.82275362318842,252.45420289855073,3594.0
Nordeste,PB,2017,3EM,252.96668674698793,253.28910843373492,252.64426506024094,23960.0
Nordeste,BA,2017,3EM,247.95873251748253,248.42959790209792,247.48786713286714,99860.0
Norte,AP,2017,3EM,246.20214953271028,245.22130841121495,247.18299065420558,7257.0
Norte,AM,2017,3EM,245.82154135338345,245.68,245.96308270676693,43015.0
Nordeste,MA,2017,3EM,245.07801265822786,244.44378481012657,245.71224050632912,68063.0
Norte,PA,2017,3EM,242.3551726973684,242.49113486842103,242.21921052631578,61210.0
